,date,result,teams,score,formation
24,"Jan 9, 2020 ",L,"[Barcelona , Atletico Madrid]",2 - 3,433
25,"Jan 19, 2020 ",W,"[Barcelona, Granada ]",1 - 0,3142
26,"Jan 22, 2020 ",W,"[Ibiza , Barcelona]",1 - 2,3142
27,"Jan 25, 2020 ",L,"[Valencia, Barcelona ]",2 - 0,3142
28,"Jan 30, 2020 ",W,"[Barcelona, Leganés ]",5 - 0,433
29,"Feb 2, 2020 ",W,"[Barcelona, Levante ]",2 - 1,433
30,"Feb 6, 2020 ",L,"[Athletic, Barcelona ]",1 - 0,433
31,"Feb 9, 2020 ",W,"[Real Betis , Barcelona]",2 - 3,41212
32,"Feb 15, 2020 ",W,"[Barcelona, Getafe ]",2 - 1,433
33,"Feb 22, 2020 ",W,"[Barcelona, Eibar ]",5 - 0,433
34,"Feb 25, 2020 ",D,"[Napoli , Barcelona ]",1 - 1,433
35,"Mar 1, 2020 ",L,"[Real Madrid, Barcelona ]",2 - 0,442
36,"Mar 7, 2020 ",W,"[Barcelona, Real Sociedad ]",1 - 0,433
37,"Jun 13, 2020 ",W,"[Mallorca , Barcelona]",0 - 4,433
38,"Jun 16, 2020 ",W,"[Barcelona, Leganés ]",2 - 0,433
39,"Jun 19, 2020 ",D,"[Sevilla FC , Barcelona ]",0 - 0,442
40,"Jun 23, 2020 ",W,"[Barcelona, Athletic ]",1 - 0,433
41,"Jun 27, 2020 ",D,"[Celta , Barcelona ]",2 - 2,433
42,"Jun 30, 2020 ",D,"[Barcelona , Atletico Madrid ]",2 - 2,4312
43,"Jul 5, 2020 ",W,"[Villarreal , Barcelona]",1 - 4,41212
44,"Jul 8, 2020 ",W,"[Barcelona, Espanyol ]",1 - 0,4312
45,"Jul 11, 2020 ",W,"[Valladolid , Barcelona]",0 - 1,41212
46,"Jul 16, 2020 ",L,"[Barcelona , Osasuna]",1 - 2,433
47,"Jul 19, 2020 ",W,"[Alavés , Barcelona]",0 - 5,433
48,"Aug 8, 2020 ",W,"[Barcelona, Napoli ]",3 - 1,433
0,"Aug 18, 2018 ",W,"[Barcelona, Alavés ]",3 - 0,442
1,"Aug 25, 2018 ",W,"[Valladolid , Barcelona]",0 - 1,433
2,"Sep 2, 2018 ",W,"[Barcelona, Huesca ]",8 - 2,433
